customer,recency,frequency,monetary_value,R_Quartile,F_Quartile,M_Quartile,RFMClass
21-186G-2239,6,10,9575.22,2,4,4,244
21-186G-2240,56,14,15891.119999999999,4,4,4,444
21-186G-225,16,19,21966.100000000002,3,4,3,343
21-186G-2315,2,74,77608.02000000005,1,2,1,121
21-186G-2319,9,22,18864.940000000002,2,4,3,243
21-186G-2324,4,83,60116.52999999999,2,2,2,222
21-186G-2325,23,23,18516.380000000005,3,4,3,343
21-186G-2330,5,49,38650.81,2,3,2,232
21-186G-2331,368,25,19678.840000000007,4,4,3,443
21-186G-2333,3,39,38231.52,1,3,2,132
21-186G-2334,3,26,22459.159999999996,1,4,3,143
21-186G-2336,24,94,63342.70999999999,3,2,2,322
21-186G-2338,3,35,14073.150000000001,1,3,4,134
21-186G-2343,7,36,16980.270000000004,2,3,4,234
21-186G-2344,19,95,81060.67,3,2,1,321
21-186G-2353,61,22,9791.390000000001,4,4,4,444
21-186G-2364,23,58,79342.43,3,3,1,331
21-186G-2366,0,26,24447.84,1,4,3,143
21-186G-2371,35,13,13783.189999999999,3,4,4,344
21-186G-2380,47,70,66155.88,3,2,2,322
21-186G-2381,7,53,34065.74999999999,2,3,3,233
21-186G-2382,3,63,33217.69,1,2,3,123
21-186G-2394,7,89,47520.280000000035,2,2,2,222
21-186G-2397,365,50,23114.03,4,3,3,433
21-186G-2398,367,62,29807.650000000005,4,2,3,423
21-186G-2404,19,56,33791.380000000005,3,3,3,333
21-186G-2405,365,57,33849.82,4,3,3,433
21-186G-2408,7,89,61607.359999999986,2,2,2,222
21-186G-2409,12,50,38219.37,3,3,2,332
21-186G-2410,416,10,6363.129999999999,4,4,4,444
21-186G-2414,37,51,53381.76000000001,3,3,2,332
21-186G-2419,1,166,169927.10000000003,1,1,1,111
21-186G-2426,369,28,16038.109999999997,4,4,4,444
21-186G-2444,1,64,66821.52,1,2,2,122
21-186G-245,5,140,135142.46000000005,2,1,1,211
21-186G-2451,4,111,55538.52000000001,2,1,2,212
21-186G-2452,10,46,44429.78,2,3,2,232
21-186G-2457,11,51,50667.030000000006,2,3,2,232
21-186G-2467,9,50,47364.65,2,3,2,232
21-186G-247,369,62,50960.14999999999,4,2,2,422
21-186G-2473,47,21,6927.889999999999,3,4,4,344
21-186G-250,92,45,16014.090000000004,4,3,4,434
21-186G-2506,10,133,47058.15,2,1,2,212
21-186G-2510,38,17,4711.02,3,4,4,344
21-186G-2527,10,18,5853.129999999999,2,4,4,244
21-186G-2535,1,34,28921.500000000004,1,3,3,133
21-186G-2543,9,157,154590.98,2,1,1,211
21-186G-2554,20,30,28780.63,3,4,3,343
21-186G-2555,3,96,72451.62000000002,1,2,1,121
21-186G-2569,13,22,21319.010000000002,3,4,3,343
21-186G-2582,1,67,62120.93999999999,1,2,2,122
21-186G-2586,11,63,45850.82,2,2,2,222
21-186G-259,2,244,176167.13999999998,1,1,1,111
21-186G-2596,3,200,99652.23000000007,1,1,1,111
21-186G-2607,33,29,31567.820000000003,3,4,3,343
21-186G-2612,5,14,15141.380000000001,2,4,4,244
21-186G-2614,159,4,4857.95,4,4,4,444
21-186G-2615,0,52,57255.83999999999,1,3,2,132
21-186G-2618,2,84,43007.269999999975,1,2,2,122
21-186G-2619,13,28,18716.220000000005,3,4,3,343
21-186G-262,24,85,75572.48000000003,3,2,1,321
21-186G-2621,6,20,16660.579999999998,2,4,4,244
21-186G-2627,9,47,48212.229999999996,2,3,2,232
21-186G-2632,8,11,5468.96,2,4,4,244
21-186G-2640,14,30,41278.149999999994,3,4,2,342
21-186G-265,5,103,78214.25000000004,2,1,1,211
21-186G-2654,1,35,27057.489999999998,1,3,3,133
21-186G-2658,8,59,39581.649999999994,2,3,2,232
21-186G-2659,2,82,78517.24,1,2,1,121
21-186G-266,367,17,15569.619999999999,4,4,4,444
21-186G-2660,367,24,20762.16,4,4,3,443
21-186G-2663,48,25,16606.08,3,4,4,344
21-186G-2667,15,54,45218.03,3,3,2,332
21-186G-2668,22,49,33567.130000000005,3,3,3,333
21-186G-267,21,19,7775.470000000001,3,4,4,344
21-186G-2671,8,75,53266.57000000001,2,2,2,222
21-186G-2672,59,40,47511.930000000015,4,3,2,432
21-186G-2673,5,47,37072.22,2,3,3,233
21-186G-2674,1,24,6021.05,1,4,4,144
21-186G-2675,20,11,3304.34,3,4,4,344
21-186G-2679,10,79,27887.77999999999,2,2,3,223
21-186G-268,24,72,36769.74,3,2,3,323
21-186G-270,10,123,68013.27999999998,2,1,2,212
21-186G-2701,0,62,42250.15,1,2,2,122
21-186G-2705,36,20,12530.210000000003,3,4,4,344
21-186G-2708,365,31,22249.599999999995,4,4,3,443
21-186G-2711,371,21,13652.559999999996,4,4,4,444
21-186G-2712,5,76,60525.06999999999,2,2,2,222
21-186G-2719,5,28,21224.57,2,4,3,243
21-186G-272,34,9,7241.850000000001,3,4,4,344
21-186G-2724,20,64,60211.69000000001,3,2,2,322
21-186G-2728,436,27,10267.599999999999,4,4,4,444
21-186G-2734,10,44,41837.619999999995,2,3,2,232
21-186G-2737,6,221,132130.37999999992,2,1,1,211
21-186G-274,36,34,19761.09,3,3,3,333
21-186G-276,4,222,183268.9899999999,2,1,1,211
21-186G-2763,5,20,14793.380000000001,2,4,4,244
21-186G-2765,7,121,88622.09000000001,2,1,1,211
21-186G-2768,10,105,83926.81999999996,2,1,1,211
21-186G-2770,4,56,39785.12000000001,2,3,2,232
21-186G-2771,4,72,78954.76,2,2,1,221
21-186G-2774,372,20,17729.83,4,4,4,444
21-186G-2780,50,44,17190.06000000001,4,3,4,434
21-186G-2781,122,62,30125.940000000013,4,2,3,423
21-186G-2782,2,83,98736.59000000001,1,2,1,121
21-186G-2784,1,69,37790.14999999999,1,2,2,122
21-186G-2785,401,9,7104.640000000001,4,4,4,444
21-186G-2786,3,215,123685.42000000006,1,1,1,111
21-186G-2788,4,10,8561.3,2,4,4,244
21-186G-2789,8,84,76676.12,2,2,1,221
21-186G-279,11,52,45142.79999999999,2,3,2,232
21-186G-2795,380,69,84554.97000000002,4,2,1,421
21-186G-2802,3,74,82628.34000000003,1,2,1,121
21-186G-2805,16,26,19458.84,3,4,3,343
21-186G-2824,18,50,13380.689999999991,3,3,4,334
21-186G-288,366,128,37772.68,4,1,2,412
21-186G-289,368,18,6005.810000000002,4,4,4,444
21-186G-29,31,30,11546.41,3,4,4,344
21-186G-2908,396,30,19988.849999999995,4,4,3,443
21-186G-2911,8,53,29070.079999999998,2,3,3,233
21-186G-2913,3,54,33952.539999999986,1,3,3,133
21-186G-2915,1,46,27795.859999999986,1,3,3,133
21-186G-2918,0,187,118410.33000000005,1,1,1,111
21-186G-2924,35,83,26292.909999999996,3,2,3,323
21-186G-2925,37,59,14338.43,3,3,4,334
21-186G-2926,366,153,30498.809999999983,4,1,3,413
21-186G-2929,20,19,10591.58,3,4,4,344
21-186G-2930,1,119,78402.04999999997,1,1,1,111
21-186G-2931,46,43,24367.249999999996,3,3,3,333
21-186G-2936,368,41,25410.399999999998,4,3,3,433
21-186G-294,27,23,17268.6,3,4,4,344
21-186G-2944,1,83,54098.359999999986,1,2,2,122
21-186G-2945,29,130,69662.86,3,1,1,311
21-186G-2947,60,17,9488.59,4,4,4,444
21-186G-2951,5,71,24103.169999999995,2,2,3,223
21-186G-2954,11,19,17253.989999999998,2,4,4,244
21-186G-2957,2,61,41135.45,1,2,2,122
21-186G-2958,6,36,14358.560000000003,2,3,4,234
21-186G-2961,88,13,4571.790000000001,4,4,4,444
21-186G-2964,1,39,15245.619999999999,1,3,4,134
21-186G-2965,2,136,73628.25000000001,1,1,1,111
21-186G-2971,13,35,36943.20000000001,3,3,3,333
21-186G-2972,368,32,35123.29,4,4,3,443
21-186G-2977,65,12,8176.3099999999995,4,4,4,444
21-186G-2980,13,59,38523.58999999999,3,3,2,332
21-186G-2981,4,118,87208.34000000003,2,1,1,211
21-186G-2984,373,29,17279.919999999995,4,4,4,444
21-186G-30,22,30,5316.499999999999,3,4,4,344
21-186G-3017,23,15,5698.0199999999995,3,4,4,344
21-186G-3024,65,64,50448.529999999984,4,2,2,422
21-186G-3034,20,92,66141.01,3,2,2,322
21-186G-3044,29,38,34360.94,3,3,3,333
21-186G-305,383,48,50927.82,4,3,2,432
21-186G-3061,0,124,46633.40000000002,1,1,2,112
21-186G-3064,15,14,11439.989999999998,3,4,4,344
21-186G-307,15,18,31701.9,3,4,3,343
21-186G-3070,375,15,24306.72,4,4,3,443
21-186G-3074,396,10,15706.699999999999,4,4,4,444
21-186G-3076,56,20,26214.090000000004,4,4,3,443
21-186G-3085,105,20,21684.719999999998,4,4,3,443
21-186G-3088,34,28,30155.91000000001,3,4,3,343
21-186G-3098,21,34,34595.38,3,3,3,333
21-186G-3100,403,22,16256.619999999999,4,4,4,444
21-186G-3103,12,112,150260.98,3,1,1,311
21-186G-3104,2,105,166737.90000000005,1,1,1,111
21-186G-3110,14,105,133718.51,3,1,1,311
21-186G-312,3,66,44346.54,1,2,2,122
21-186G-3121,16,37,14252.380000000001,3,3,4,334
21-186G-3123,30,20,3475.12,3,4,4,344
21-186G-3128,5,28,10876.660000000003,2,4,4,244
21-186G-3135,57,40,18911.81,4,3,3,433
21-186G-3136,18,48,31222.079999999994,3,3,3,333
21-186G-3139,35,26,12064.18,3,4,4,344
21-186G-3151,57,13,11753.21,4,4,4,444
21-186G-3152,386,11,5182.52,4,4,4,444
21-186G-316,31,113,76184.31999999995,3,1,1,311
21-186G-3165,3,72,68199.36999999998,1,2,2,122
21-186G-319,386,20,6765.119999999999,4,4,4,444
21-186G-3196,0,36,14145.490000000007,1,3,4,134
21-186G-3197,8,45,19307.680000000008,2,3,3,233
21-186G-3201,380,28,13236.459999999997,4,4,4,444
21-186G-3203,23,46,37263.00000000001,3,3,3,333
21-186G-3205,367,19,16055.31,4,4,4,444
21-186G-3209,1,39,31201.24000000001,1,3,3,133
21-186G-3216,8,180,160474.27999999988,2,1,1,211
21-186G-3219,110,87,67303.19000000002,4,2,2,422
21-186G-3220,19,76,27609.740000000005,3,2,3,323
21-186G-3228,36,29,8214.759999999998,3,4,4,344
21-186G-323,2,88,36444.389999999985,1,2,3,123
21-186G-3232,365,34,14856.469999999998,4,3,4,434
21-186G-3236,392,20,8378.94,4,4,4,444
21-186G-3238,391,7,2385.51,4,4,4,444
21-186G-3240,367,28,12320.230000000001,4,4,4,444
21-186G-3241,398,16,7873.580000000002,4,4,4,444
21-186G-3243,46,19,8011.4400000000005,3,4,4,344
21-186G-3246,10,25,10872.920000000004,2,4,4,244
21-186G-3247,5,21,9186.840000000002,2,4,4,244
21-186G-3249,38,8,3282.4100000000003,3,4,4,344
21-186G-3250,3,9,4545.52,1,4,4,144
21-186G-3251,3,24,20589.539999999994,1,4,3,143
21-186G-3254,31,13,10592.439999999999,3,4,4,344
21-186G-3256,93,10,3711.9,4,4,4,444
21-186G-3258,13,27,21236.680000000004,3,4,3,343
21-186G-3259,13,28,29943.26,3,4,3,343
21-186G-3262,88,91,87796.99,4,2,1,421
21-186G-3265,2,210,157282.90000000005,1,1,1,111
21-186G-3266,2,314,183711.08000000016,1,1,1,111
21-186G-3269,376,23,10993.210000000003,4,4,4,444
21-186G-3270,34,70,39422.06999999999,3,2,2,322
21-186G-3272,4,100,64153.37999999998,2,2,2,222
21-186G-3273,13,92,43233.96999999999,3,2,2,322
21-186G-3274,63,36,24172.31,4,3,3,433
21-186G-3288,58,51,39048.00999999999,4,3,2,432
21-186G-3297,380,28,25144.050000000003,4,4,3,443
21-186G-3301,392,15,9382.3,4,4,4,444
21-186G-3302,369,56,41181.420000000006,4,3,2,432
21-186G-3314,377,64,48657.549999999996,4,2,2,422
21-186G-3334,30,128,61023.29000000009,3,1,2,312
21-186G-3339,28,54,17299.870000000003,3,3,4,334
21-186G-3341,38,27,9683.36,3,4,4,344
21-186G-3348,367,118,31890.969999999998,4,1,3,413
21-186G-3352,1,53,18745.509999999995,1,3,3,133
21-186G-3356,10,64,33056.27999999999,2,2,3,223
21-186G-3358,35,21,12389.92,3,4,4,344
21-186G-3359,44,28,24691.36999999999,3,4,3,343
21-186G-336,18,23,35995.880000000005,3,4,3,343
21-186G-3365,4,201,202153.10000000006,2,1,1,211
21-186G-3375,87,42,43694.05999999999,4,3,2,432
21-186G-3395,8,44,36339.799999999996,2,3,3,233
21-186G-3424,5,88,42625.64000000002,2,2,2,222
21-186G-3436,3,97,224346.32999999987,1,2,1,121
21-186G-3437,1,111,197531.60999999996,1,1,1,111
21-186G-3440,21,42,69858.04999999999,3,3,1,331
21-186G-3441,102,80,79915.82999999997,4,2,1,421
21-186G-3443,365,62,43577.01999999999,4,2,2,422
21-186G-3450,2,54,43164.18000000001,1,3,2,132
21-186G-3453,366,72,46633.82999999999,4,2,2,422
21-186G-3456,109,25,18969.689999999995,4,4,3,443
21-186G-3457,1,46,29180.769999999997,1,3,3,133
21-186G-3459,371,34,30421.389999999996,4,3,3,433
21-186G-3460,6,33,17922.750000000004,2,3,4,234
21-186G-3463,4,307,164295.02000000008,2,1,1,211
21-186G-3465,1,77,27284.029999999988,1,2,3,123
21-186G-3472,1,150,57651.97999999997,1,1,2,112
21-186G-3473,1,10,3229.09,1,4,4,144
21-186G-3474,97,90,31213.38000000002,4,2,3,423
21-186G-3475,408,18,6924.75,4,4,4,444
21-186G-3476,367,62,19728.600000000002,4,2,3,423
21-186G-3477,380,14,3895.96,4,4,4,444
21-186G-3478,0,27,11886.81,1,4,4,144
21-186G-3479,22,26,15381.290000000005,3,4,4,344
21-186G-3480,0,69,39821.78,1,2,2,122
21-186G-3481,56,32,17669.829999999994,4,4,4,444
21-186G-3482,14,56,34834.860000000015,3,3,3,333
21-186G-3483,367,30,17858.96,4,4,4,444
21-186G-3488,375,29,16191.14,4,4,4,444
21-186G-3489,1,72,56132.25000000001,1,2,2,122
21-186G-3493,380,11,13118.099999999999,4,4,4,444
21-186G-3494,200,26,26331.289999999997,4,4,3,443
21-186G-3498,4,72,30629.84999999999,2,2,3,223
21-186G-3501,1,46,26365.829999999994,1,3,3,133
21-186G-3502,34,51,25648.199999999997,3,3,3,333
21-186G-3505,0,23,13741.5,1,4,4,144
21-186G-3506,36,14,11483.2,3,4,4,344
21-186G-3508,1,108,59789.94000000001,1,1,2,112
21-186G-3513,10,47,22941.32,2,3,3,233
21-186G-3516,20,58,38456.14000000001,3,3,2,332
21-186G-3517,3,47,31050.149999999998,1,3,3,133
21-186G-3519,39,89,64679.490000000005,3,2,2,322
21-186G-3525,147,32,25900.130000000005,4,4,3,443
21-186G-3526,22,19,11250.699999999999,3,4,4,344
21-186G-3528,14,147,110296.61000000009,3,1,1,311
21-186G-3529,166,13,4977.87,4,4,4,444
21-186G-3531,52,4,2217.25,4,4,4,444
21-186G-3541,172,46,18798.66,4,3,3,433
21-186G-3544,2,63,69920.62000000002,1,2,1,121
21-186G-3545,0,269,179748.79999999978,1,1,1,111
21-186G-3546,370,46,15280.240000000002,4,3,4,434
21-186G-3549,2,118,54222.66000000003,1,1,2,112
21-186G-3551,3,14,9019.48,1,4,4,144
21-186G-3558,6,134,181219.65000000014,2,1,1,211
21-186G-3564,28,41,43819.40000000001,3,3,2,332
21-186G-3579,3,86,31760.17000000001,1,2,3,123
21-186G-3586,1,59,52913.909999999996,1,3,2,132
21-186G-3595,1,111,77318.75000000001,1,1,1,111
21-186G-3596,0,58,41905.76999999998,1,3,2,132
21-186G-3617,5,35,22096.209999999995,2,3,3,233
21-186G-3625,370,35,21995.369999999995,4,3,3,433
21-186G-3631,365,28,15903.639999999998,4,4,4,444
21-186G-3632,47,41,30103.420000000006,3,3,3,333
21-186G-3641,4,23,15463.949999999999,2,4,4,244
21-186G-3649,5,124,83992.76,2,1,1,211
21-186G-3655,37,11,5071.110000000001,3,4,4,344
21-186G-3656,1,40,60574.4,1,3,2,132
21-186G-3674,2,17,9124.300000000001,1,4,4,144
21-186G-3681,371,35,14740.220000000005,4,3,4,434
21-186G-3684,365,65,27221.870000000006,4,2,3,423
21-186G-3686,17,98,40059.76000000001,3,2,2,322
21-186G-3691,1,60,15791.969999999996,1,2,4,124
21-186G-3705,14,51,93664.76000000004,3,3,1,331
21-186G-3713,17,13,57318.369999999995,3,4,2,342
21-186G-3722,440,6,31008.15,4,4,3,443
21-186G-3723,112,17,10111.329999999998,4,4,4,444
21-186G-3724,13,20,7323.509999999999,3,4,4,344
21-186G-3726,216,41,13847.550000000001,4,3,4,434
21-186G-373,5,91,45601.600000000006,2,2,2,222
21-186G-3733,0,40,20629.890000000007,1,3,3,133
21-186G-3736,54,19,7939.749999999998,4,4,4,444
21-186G-3738,18,15,5722.42,3,4,4,344
21-186G-3739,98,75,27018.520000000008,4,2,3,423
21-186G-3748,59,83,54625.73000000001,4,2,2,422
21-186G-3751,52,74,34527.98,4,2,3,423
21-186G-3766,10,76,88141.78,2,2,1,221
21-186G-3768,368,37,61716.91,4,3,2,432
21-186G-3770,368,53,68441.35999999999,4,3,2,432
21-186G-3773,17,63,91221.83,3,2,1,321
21-186G-379,0,115,49753.25999999997,1,1,2,112
21-186G-3790,77,19,13319.079999999998,4,4,4,444
21-186G-3806,9,19,12240.660000000003,2,4,4,244
21-186G-3810,3,137,56473.37,1,1,2,112
21-186G-3812,1,50,21252.559999999998,1,3,3,133
21-186G-3814,1,23,9997.999999999998,1,4,4,144
21-186G-3823,8,16,8366.91,2,4,4,244
21-186G-3824,2,54,22693.19000000001,1,3,3,133
21-186G-3833,9,104,57753.80999999998,2,1,2,212
21-186G-3834,4,46,20882.340000000004,2,3,3,233
21-186G-3858,367,100,51470.490000000005,4,2,2,422
21-186G-3863,371,40,16622.840000000004,4,3,4,434
